day,shift_index,shift_label,day_type,planned_jobs,backlog_jobs_in,realized_queue,executed_sequence,unfinished_sequence,planned_job_count,backlog_in_count,executed_count,unfinished_count,planned_nominal_load,planned_robust_load,backlog_nominal_load,backlog_robust_load,realized_executed_load,capacity,slack,utilization_ratio,overflow_flag,backlog_end_of_day,weekend_day_used,maintenance_start_day,maintenance_end_day,stop_delay_total_min,stop_count_total,first_overflow_day_flag
15,1,night,weekday,[],"[92, 26, 55, 66, 18, 21, 31, 20]","[92, 26, 55, 66, 18, 21, 31, 20]","[92, 26]","[55, 66, 18, 21, 31, 20]",0,8,2,6,0.0,0.0,1236.271197521929,1306.5670240585077,303.35939904353614,480.0,176.64060095646386,0.631998748007367,True,6,False,,,10.308974711417557,16,False
16,0,day,weekday,"[89, 64, 85, 72, 77]","[55, 66, 18, 21, 31, 20]","[55, 66, 18, 21, 31, 20, 89, 64, 85, 72, 77]","[55, 66]","[18, 21, 31, 20, 89, 64, 85, 72, 77]",5,6,2,9,795.4879108440261,839.819849149799,946.9916498820409,1000.2535052472186,364.2824143014071,480.0,115.71758569859293,0.7589216964612647,False,9,False,,,16.178054028937026,21,False
16,1,night,weekday,[],"[18, 21, 31, 20, 89, 64, 85, 72, 77]","[18, 21, 31, 20, 89, 64, 85, 72, 77]","[18, 21]","[31, 20, 89, 64, 85, 72, 77]",0,9,2,7,0.0,0.0,1427.356009893141,1507.51625413212,339.90414473216515,480.0,140.09585526783485,0.7081336348586774,True,7,False,,,23.800381716653547,30,False
17,0,day,weekday,"[98, 79, 24, 54]","[31, 20, 89, 64, 85, 72, 77]","[31, 20, 89, 64, 85, 72, 77, 98, 79, 24, 54]","[31, 20]","[89, 64, 85, 72, 77, 98, 79, 24, 54]",4,7,2,9,618.3038512846956,654.973615065961,1117.5226968606958,1179.978683113307,360.25550858547456,480.0,119.74449141452544,0.750532309553072,False,9,False,,,17.510506420012895,24,False
17,1,night,weekday,[],"[89, 64, 85, 72, 77, 98, 79, 24, 54]","[89, 64, 85, 72, 77, 98, 79, 24, 54]","[89, 64]","[85, 72, 77, 98, 79, 24, 54]",0,9,2,7,0.0,0.0,1413.7917621287218,1494.79346421576,342.44023390577183,480.0,137.55976609422817,0.713417153970358,True,7,False,,,11.304632542696211,22,False
18,0,day,weekday,"[28, 44, 95, 76, 29, 40]","[85, 72, 77, 98, 79, 24, 54]","[85, 72, 77, 98, 79, 24, 54, 28, 44, 95, 76, 29, 40]","[85, 72]","[77, 98, 79, 24, 54, 28, 44, 95, 76, 29, 40]",6,7,2,11,872.1754344255619,920.2021656818158,1113.3078417488102,1179.36205662657,355.68000342745205,480.0,124.31999657254795,0.741000007140525,False,11,False,,,7.1376813589964625,14,False
18,1,night,weekday,[],"[77, 98, 79, 24, 54, 28, 44, 95, 76, 29, 40]","[77, 98, 79, 24, 54, 28, 44, 95, 76, 29, 40]","[77, 98]","[79, 24, 54, 28, 44, 95, 76, 29, 40]",0,11,2,9,0.0,0.0,1659.5010349429424,1753.5842656204134,353.51295979880763,480.0,126.48704020119237,0.7364853329141826,True,9,False,,,9.053342590232997,23,False
19,0,day,weekday,"[47, 59, 30, 15, 65]","[79, 24, 54, 28, 44, 95, 76, 29, 40]","[79, 24, 54, 28, 44, 95, 76, 29, 40, 47, 59, 30, 15, 65]","[79, 24]","[54, 28, 44, 95, 76, 29, 40, 47, 59, 30, 15, 65]",5,9,2,12,763.364844008516,805.1476482629887,1342.787922831276,1419.6396046663167,351.0260570076268,480.0,128.97394299237322,0.7313042854325558,False,12,False,,,6.2275383376991424,18,False
19,1,night,weekday,[],"[54, 28, 44, 95, 76, 29, 40, 47, 59, 30, 15, 65]","[54, 28, 44, 95, 76, 29, 40, 47, 59, 30, 15, 65]","[54, 28]","[44, 95, 76, 29, 40, 47, 59, 30, 15, 65]",0,12,2,10,0.0,0.0,1796.109592364846,1895.1501724214493,342.1065306667963,480.0,137.8934693332037,0.7127219388891589,True,10,False,,,8.004521020471385,15,False
20,0,day,weekday,"[69, 39, 10, 94, 33]","[44, 95, 76, 29, 40, 47, 59, 30, 15, 65]","[44, 95, 76, 29, 40, 47, 59, 30, 15, 65, 69, 39, 10, 94, 33]","[44, 95, 76]","[29, 40, 47, 59, 30, 15, 65, 69, 39, 10, 94, 33]",5,10,3,12,771.2688039315873,813.0905648325108,1496.5086575438038,1579.1758561590577,474.6653053351489,480.0,5.334694664851099,0.9888860527815602,False,12,False,,,11.324756799804835,29,False
20,1,night,weekday,[],"[29, 40, 47, 59, 30, 15, 65, 69, 39, 10, 94, 33]","[29, 40, 47, 59, 30, 15, 65, 69, 39, 10, 94, 33]","[29, 40, 47]","[59, 30, 15, 65, 69, 39, 10, 94, 33]",0,12,3,9,0.0,0.0,1839.2459889145002,1940.4364916395002,474.4819640083883,480.0,5.518035991611725,0.9885040916841422,True,9,False,,,17.95565638315873,30,False
21,0,day,weekend,[],"[59, 30, 15, 65, 69, 39, 10, 94, 33]","[59, 30, 15, 65, 69, 39, 10, 94, 33]","[59, 30]","[15, 65, 69, 39, 10, 94, 33]",0,9,2,7,0.0,0.0,1386.9294690815705,1463.2193176871517,338.76699316355496,480.0,141.23300683644504,0.7057645690907395,False,7,True,,,8.38613871682908,18,False
21,1,night,weekend,[],"[15, 65, 69, 39, 10, 94, 33]","[15, 65, 69, 39, 10, 94, 33]","[15, 65, 69]","[39, 10, 94, 33]",0,7,3,4,0.0,0.0,1087.395090690214,1145.9838050187525,473.4195012330362,480.0,6.580498766963785,0.9862906275688255,True,4,True,,,7.381070703466451,23,False
22,0,day,weekend,[],"[39, 10, 94, 33]","[39, 10, 94, 33]","[39, 10]","[94, 33]",0,4,2,2,0.0,0.0,625.1005163750369,658.6956809151125,372.1068171229936,480.0,107.89318287700638,0.7752225356729033,False,2,True,,,8.081710253419208,18,False
22,1,night,weekend,[],"[94, 33]","[94, 33]","[94, 33]",[],0,2,2,0,0.0,0.0,314.6258475537674,332.61754607140574,332.772241687451,480.0,147.22775831254899,0.6932755035155229,False,0,True,,,11.581282788236587,16,False
