n_jobs,n_days,daily_capacity_min,regular_shift_min,max_overtime_per_day_min,mu_scale,sigma_scale,k,mu_A_mean,mu_B_mean,sigma_A_mean,sigma_B_mean,mu_total_mean,mu_total_min,mu_total_max,sigma_total_mean,sigma_total_min,sigma_total_max,k_buffer_mean,k_buffer_min,k_buffer_max,p_robust_mean,p_robust_min,p_robust_max,total_nominal_load,total_robust_load,avg_nominal_load_per_day,avg_robust_load_per_day,daily_nominal_utilization_ratio,daily_robust_utilization_ratio,gurobi_status,gurobi_status_name,solve_time_sec,has_solution,accepted_for_simulation,objective_value,mip_gap,planned_total_ot,n_days_with_planned_ot,planned_max_day_load,planned_avg_day_load,prob_cleared_within_horizon,prob_terminal_backlog,avg_terminal_backlog,avg_max_backlog,avg_total_overtime,max_total_overtime,meets_95_constraint,system_ok
40,20,480,480,120,1.0,1.2,1.0,88.62429266540228,60.48435657285214,16.050289573887838,21.19010071593507,149.10864923825443,120.88018968274685,181.185987765088,26.590966732353056,21.89363809892511,33.11562275781481,26.590966732353056,21.89363809892511,33.11562275781481,175.69961597060748,143.5201622798961,213.58876887442878,5964.345969530178,7027.984638824297,298.2172984765089,351.39923194121485,0.6212860384927269,0.7320817332108642,2,OPTIMAL,0.0,True,True,0.0,0.0,0.0,0,472.2138413907717,351.39923194121496,1.0,0.0,0.0,0.0,0.878950123363006,54.77405440891232,True,True
40,20,480,480,120,1.2,1.0,1.0,106.77885268742189,72.21102393610091,13.346248443595375,17.70538441370794,178.9898766235228,146.5398697187711,222.60079675998895,22.177173526607394,18.078811778102857,28.066758502362003,22.177173526607394,18.078811778102857,28.066758502362003,201.1670501501302,164.6512272016737,249.79356375426937,7159.595064940913,8046.682006005211,357.97975324704566,402.33410030026056,0.7457911525980118,0.8381960422922095,2,OPTIMAL,0.0,True,True,0.0,0.0,0.0,0,460.88968458781295,402.3341003002604,1.0,0.0,0.0,0.0,1.1163076727774406,50.183648994089936,True,True
40,20,480,480,120,1.2,1.2,1.0,106.68894108622537,71.72915431451972,16.285923064020498,21.31089433561079,178.4180954007451,147.63328190552778,217.31772499153487,26.827394897278648,21.579159746565455,33.13322931955593,26.827394897278648,21.579159746565455,33.13322931955593,205.24549029802375,170.1734754866508,250.40831113876476,7136.723816029803,8209.819611920952,356.83619080149015,410.49098059604756,0.7434087308364378,0.8551895429084324,2,OPTIMAL,0.0,True,True,0.0,0.0,0.0,0,471.67948351929215,410.4909805960475,1.0,0.0,0.0,0.0,2.773076699230856,79.34954719480208,True,True
40,20,480,480,120,1.4,1.0,1.0,123.72502974694815,84.28879486396474,13.483760481238749,17.61128137288408,208.0138246109129,173.39297191977442,253.113738104314,22.184489930566404,18.32997016223985,28.790726494821243,22.184489930566404,18.32997016223985,28.790726494821243,230.1983145414793,191.94005591176,280.1845912759537,8320.552984436517,9207.932581659172,416.02764922182587,460.3966290829586,0.8667242692121372,0.9591596439228305,2,OPTIMAL,0.0030052661895751953,True,True,0.0,0.0,0.0,0,478.6730960195936,460.3966290829586,1.0,0.0,0.0,0.0,9.22324571988361,90.64143857933936,True,True
40,20,480,480,120,1.4,1.2,1.0,123.03513464308166,85.19451061724459,16.120266629262368,21.149822901789392,208.22964526032627,169.02163079062626,256.1235229616584,26.596325163760724,21.453790643396946,34.002335977616255,26.596325163760724,21.453790643396946,34.002335977616255,234.825970424087,191.00830551819962,290.1258589392747,8329.18581041305,9393.038816963483,416.4592905206525,469.65194084817415,0.8676235219180259,0.9784415434336962,2,OPTIMAL,0.6596219539642334,True,True,185.67080692219702,0.0,1.1341644574742924,1,481.1341644574743,469.651940848174,1.0,0.0,0.0,0.0,19.06941089007886,123.32011176829451,True,True
40,20,480,480,120,1.6,1.0,1.0,141.63699710870017,97.3350411943142,13.528329710071903,17.709758316122297,238.97203830301436,195.99098208287597,291.6410672706177,22.291130868189157,18.053888685302926,28.70511866947696,22.291130868189157,18.053888685302926,28.70511866947696,261.2631691712035,214.48151421729418,320.3461859400947,9558.881532120577,10450.526766848141,477.94407660602883,522.526338342407,0.9957168262625601,1.088596538213348,9,TIME_LIMIT,900.0406301021576,True,False,6146.927489718642,0.0006541979553533438,869.3854979437288,10,615.4614542643606,522.526338342407,,,,,,,,False
40,20,480,480,120,1.6,1.2,1.0,142.32991109597336,96.3079221151059,16.10490656539168,21.14648763400294,238.63783321107923,198.3429543045723,290.6294951773588,26.58800740518491,21.738121413939684,33.36669169730892,26.58800740518491,21.738121413939684,33.36669169730892,265.2258406162642,221.45666991555862,323.9961868746677,9545.51332844317,10609.033624650563,477.2756664221585,530.4516812325281,0.9943243050461635,1.1051076692344337,2,OPTIMAL,10.981629133224487,True,True,7313.986223609314,7.143787194114892e-12,1030.7974667589367,12,630.2342443042634,530.4516812325284,0.57,0.43,0.52,0.64,396.18819684838365,690.4662854466083,False,False
50,20,480,480,120,1.0,1.0,1.0,88.89039859169665,60.39833108728579,13.538309779263958,17.734812518695698,149.28872967898243,122.2129417546063,181.37379643819145,22.31799886234158,17.922025951031284,29.129574446825472,22.31799886234158,17.922025951031284,29.129574446825472,171.60672854132403,141.18985418343362,208.45107642781477,7464.436483949121,8580.336427066199,373.22182419745604,429.0168213533099,0.7775454670780334,0.8937850444860623,2,OPTIMAL,0.3435378074645996,True,True,0.0,0.0,0.0,0,479.03737679566433,429.01682135331004,1.0,0.0,0.0,0.0,4.587064117647586,77.36674148263916,True,True
50,20,480,480,120,1.0,1.2,1.0,88.75532491247286,60.46987381726077,16.23871782590766,21.40447723233672,149.22519872973362,121.62212651879253,177.4756491702782,26.87391047206416,22.03700989213684,34.41433643090598,26.87391047206416,22.03700989213684,34.41433643090598,176.0991092017978,144.839782543663,211.29042638112804,7461.25993648668,8804.95546008989,373.062996824334,440.2477730044945,0.7772145767173625,0.9171828604260301,9,TIME_LIMIT,900.025951385498,True,False,1062.8117822343647,1.0,104.56237092701936,3,517.8917190294867,440.2477730044945,,,,,,,,False
50,20,480,480,120,1.2,1.0,1.0,106.20403064371249,72.65241211608806,13.503807192726544,17.781414892893338,178.85644275980056,150.6298724967329,219.22176680062438,22.332889003265738,17.84850842181835,28.282936386757832,22.332889003265738,17.84850842181835,28.282936386757832,201.1893317630663,169.6442820282322,246.6434164151633,8942.822137990026,10059.466588153315,447.1411068995013,502.97332940766574,0.9315439727072944,1.047861102932637,2,OPTIMAL,7.663439035415649,True,True,5665.623545267985,8.257862070510497e-05,773.124709295196,10,601.9186658297144,502.9733294076657,1.0,0.0,0.0,0.06333333333333334,258.17641920680364,469.1552004991441,True,True
50,20,480,480,120,1.2,1.2,1.0,106.65884388712779,72.40012687731468,16.282547410771105,21.2266306272507,179.05897076444248,150.85922719299583,217.50717568571218,26.75881242718243,21.680173247806632,34.52434354539703,26.75881242718243,21.680173247806632,34.52434354539703,205.8177831916249,172.9247285972662,250.3822018634225,8952.948538222125,10290.889159581247,447.6474269111062,514.5444579790624,0.9325988060648046,1.0719676207897133,2,OPTIMAL,6.278275966644287,True,True,6328.581036109859,7.089762482407901e-05,905.7162387116338,10,603.9014092847599,514.5444579790623,0.9866666666666667,0.013333333333333334,0.013333333333333334,0.13,278.8083105763952,524.4493721899659,True,True
50,20,480,480,120,1.4,1.0,1.0,123.8608893558977,84.8394233236838,13.427333469575517,17.74638225809106,208.7003126795815,170.64050273033348,260.6701922987772,22.259330879703736,17.995620184671917,27.621788331735047,22.259330879703736,17.995620184671917,27.621788331735047,230.95964355928524,189.42234319961298,288.2134589966324,10435.015633979072,11547.98217796426,521.7507816989536,577.3991088982131,1.0869807952061532,1.2029148102046106,2,OPTIMAL,9.902581691741943,True,True,10368.847708972935,0.0,2001.7695417945872,2,1713.3351115906512,577.3991088982131,0.0033333333333333335,0.9966666666666667,4.576666666666667,6.66,483.717433062942,1032.7168163894407,False,False
50,20,480,480,120,1.4,1.2,1.0,124.36661544686854,84.69205223173391,16.117442143509177,21.419326880982062,209.05866767860243,171.083774738876,256.73403977381815,26.81303694972553,21.348757815630293,34.08632544997995,26.81303694972553,21.348757815630293,34.08632544997995,235.871704628328,192.98386705900032,290.20328054452426,10452.93338393012,11793.585231416397,522.646669196506,589.6792615708198,1.0888472274927208,1.2284984616058745,9,TIME_LIMIT,900.0047061443329,True,False,11449.66094384508,0.010632173944724843,2217.9321983509262,2,1772.4795837048468,589.6792615708199,,,,,,,,False
50,20,480,480,120,1.6,1.0,1.0,141.94806127413295,96.98987162694705,13.438850167049788,17.672138510518153,238.93793290108002,202.8104177793619,296.53519675779125,22.207153063857696,18.228215546632317,28.216322789584964,22.207153063857696,18.228215546632317,28.216322789584964,261.1450859649377,221.28929240784967,323.5642470916561,11946.896645054001,13057.254298246886,597.3448322527,652.8627149123442,1.2444684005264584,1.3601306560673838,2,OPTIMAL,228.62826585769653,True,True,18940.476130467527,9.523600609606108e-05,3500.0952260935055,8,1425.1372324958218,652.8627149123442,0.0,1.0,10.02,10.08,503.6488802644393,850.6280678665257,False,False
50,20,480,480,120,1.6,1.2,1.0,143.69798705861464,96.47788474255154,16.277988280693872,21.287300582436174,240.17587180116618,198.78126552894474,290.24576637265164,26.804363815634513,21.788646069559615,34.70223017758484,26.804363815634513,21.788646069559615,34.70223017758484,266.9802356168007,222.03076683703836,323.4330286321328,12008.793590058309,13349.011780840034,600.4396795029154,667.4505890420016,1.250915998964407,1.3905220605041702,2,OPTIMAL,23.5088472366333,True,True,20983.681698211378,4.169088739299979e-08,3800.736339642275,11,1690.47273383852,667.4505890420018,0.0,1.0,9.46,9.46,468.6786368580009,887.1100022948201,False,False
