day,shift_index,shift_label,day_type,planned_jobs,backlog_jobs_in,realized_queue,executed_sequence,unfinished_sequence,planned_job_count,backlog_in_count,executed_count,unfinished_count,planned_nominal_load,planned_robust_load,backlog_nominal_load,backlog_robust_load,realized_executed_load,capacity,slack,utilization_ratio,overflow_flag,backlog_end_of_day,weekend_day_used,maintenance_start_day,maintenance_end_day,stop_delay_total_min,stop_count_total,first_overflow_day_flag
16,0,day,weekday,"[89, 64, 85, 72, 77]","[31, 20]","[31, 20, 89, 64, 85, 72, 77]","[31, 20]","[89, 64, 85, 72, 77]",5,2,2,5,795.4879108440261,839.819849149799,322.0347860166697,340.15883396350785,341.1003056143815,480.0,138.8996943856185,0.7106256366966281,False,5,False,,,0.0,0,False
16,1,night,weekday,[],"[89, 64, 85, 72, 77]","[89, 64, 85, 72, 77]","[89, 64]","[85, 72, 77]",0,5,2,3,0.0,0.0,795.4879108440261,839.819849149799,320.72834333531637,480.0,159.27165666468363,0.6681840486152424,True,3,False,,,0.0,0,False
17,0,day,weekday,"[98, 79, 24, 54]","[85, 72, 77]","[85, 72, 77, 98, 79, 24, 54]","[85, 72]","[77, 98, 79, 24, 54]",4,3,2,5,618.3038512846956,654.973615065961,495.00399046411457,524.388441560609,326.3258171040801,480.0,153.6741828959199,0.6798454523001669,False,5,False,,,0.0,0,False
17,1,night,weekday,[],"[77, 98, 79, 24, 54]","[77, 98, 79, 24, 54]","[77, 98]","[79, 24, 54]",0,5,2,3,0.0,0.0,787.3256005173805,833.3820999385978,334.2808027478493,480.0,145.7191972521507,0.6964183390580193,True,3,False,,,0.0,0,False
18,0,day,weekday,"[28, 44, 95, 76, 29, 40]","[79, 24, 54]","[79, 24, 54, 28, 44, 95, 76, 29, 40]","[79, 24]","[54, 28, 44, 95, 76, 29, 40]",6,3,2,7,872.1754344255619,920.2021656818158,470.6124884057142,499.43743898450094,338.73681691973695,480.0,141.26318308026305,0.7057017019161187,False,7,False,,,0.0,0,False
18,1,night,weekday,[],"[54, 28, 44, 95, 76, 29, 40]","[54, 28, 44, 95, 76, 29, 40]","[54, 28, 44]","[95, 76, 29, 40]",0,7,3,4,0.0,0.0,1032.74474835633,1090.0025241584606,458.443842154338,480.0,21.556157845662028,0.9550913378215374,True,4,False,,,0.0,0,False
19,0,day,weekday,"[47, 59, 30, 15, 65]","[95, 76, 29, 40]","[95, 76, 29, 40, 47, 59, 30, 15, 65]","[95, 76]","[29, 40, 47, 59, 30, 15, 65]",5,4,2,7,763.364844008516,805.1476482629887,591.5740940832013,623.7696210721679,312.5792793340046,480.0,167.42072066599542,0.6512068319458428,False,7,False,,,0.0,0,False
19,1,night,weekday,[],"[29, 40, 47, 59, 30, 15, 65]","[29, 40, 47, 59, 30, 15, 65]","[29, 40, 47]","[59, 30, 15, 65]",0,7,3,4,0.0,0.0,1067.977184982913,1127.3459268069892,464.9531909782096,480.0,15.04680902179041,0.9686524812046033,True,4,False,,,0.0,0,False
20,0,day,weekday,"[69, 39, 10, 94, 33]","[59, 30, 15, 65]","[59, 30, 15, 65, 69, 39, 10, 94, 33]",[59],"[30, 15, 65, 69, 39, 10, 94, 33]",5,4,1,8,771.2688039315873,813.0905648325108,615.6606651499831,650.1287528546409,175.1008261822533,480.0,304.8991738177467,0.36479338787969434,False,8,False,229.58465769389613,349.58465769389613,0.0,0,False
20,1,night,weekday,[],"[30, 15, 65, 69, 39, 10, 94, 33]","[30, 15, 65, 69, 39, 10, 94, 33]","[30, 15]","[65, 69, 39, 10, 94, 33]",0,8,2,6,0.0,0.0,1238.5911112072306,1305.8217378378267,343.11288499327,480.0,136.88711500673003,0.7148185104026458,True,6,False,,,0.0,0,False
21,0,day,weekend,[],"[65, 69, 39, 10, 94, 33]","[65, 69, 39, 10, 94, 33]","[65, 69]","[39, 10, 94, 33]",0,6,2,4,0.0,0.0,932.6153899877296,982.0490746627415,332.2474298806139,480.0,147.75257011938612,0.6921821455846122,False,4,True,,,0.0,0,False
21,1,night,weekend,[],"[39, 10, 94, 33]","[39, 10, 94, 33]","[39, 10, 94]",[33],0,4,3,1,0.0,0.0,625.1005163750369,658.6956809151125,479.1294946875123,480.0,0.870505312487694,0.9981864472656506,True,1,True,,,0.0,0,False
22,0,day,weekend,[],[33],[33],[33],[],0,1,1,0,0.0,0.0,157.21211633487925,167.3297693370277,157.5405422969772,480.0,322.4594577030228,0.3282094631187025,False,0,True,,,0.0,0,False
22,1,night,weekend,[],[],[],[],[],0,0,0,0,0.0,0.0,0.0,0.0,0.0,480.0,480.0,0.0,False,0,False,,,0.0,0,False
